emp_id,target_role_hint,text
E0200,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, react, html, css. Built apis using css. team player."
E0201,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, react, html5, ts. Built apis using react. handled csv and excel files."
E0202,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: , apis, databases, fastapi. Built models using databases. team player."
E0203,Data Analyst,"Data Analyst with 0 years experience. Skills: python, sql, vlookup, plots, power bi, pandas. Built pipelines using power bi. wrote unit tests."
E0204,ML Engineer,"ML Engineer with 3 years experience. Skills: pandas, ml, scikit-learn, nlp. Built models using ml. participated in hackathons."
E0205,ML Engineer,"ML Engineer with 1 years experience. Skills: numpy, ml, scikit-learn, tensorflow, nlp, pytorch. Built dashboards using scikit-learn. quick learner."
E0206,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, react, html, redux. Built models using react. passionate about learning."
E0207,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: python, apis, databases, fastapi, django. Built models using python. wrote unit tests."
E0208,Frontend Engineer (React),"Frontend Engineer (React) with 0 years experience. Skills: javascript, react, html, typescript, redux, css3. Built dashboards using typescript. wrote unit tests."
E0209,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, scikit-learn, nlp. Built dashboards using nlp. team player."
E0210,Backend Engineer (Python),"Backend Engineer (Python) with 3 years experience. Skills: , apis, databases, containers, fast api. Built models using . quick learner."
E0211,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: linux, aws, ci/cd, terraform, docker, k8s. Built web apps using linux. quick learner."
E0212,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: js, react, , css3, typescript, redux. Built models using js. worked in a college project."
E0213,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: linux, aws, ci/cd, kubernetes, docker. Built pipelines using docker. strong communication."
E0214,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, scikit-learn, tf-idf, pytorch, tensorflow. Built apis using python. handled csv and excel files."
E0215,ML Engineer,"ML Engineer with 2 years experience. Skills: , ml, scikit-learn, torch, nlp. Built apis using ml. quick learner."
E0216,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: python, rest , databases, django, docker. Built  using django. strong communication."
E0217,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: linux, iam, ci/cd, kubernetes, docker, iac. Built pipelines using ci/cd. handled csv and excel files."
E0218,Data Analyst,"Data Analyst with 3 years experience. Skills: python, , excel, power bi, plots. Built pipelines using python. participated in hackathons."
E0219,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: python, , databases, fastapi, django, docker. Built web apps using docker. passionate about learning."
E0220,Backend Engineer (Python),"Backend Engineer (Python) with 5 years experience. Skills: python, endpoints, databases, django, docker, fastapi. Built dashboards using fastapi. handled csv and excel files."
E0221,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, scikit-learn, text processing, tensorflow. Built apis using text processing. wrote unit tests."
E0222,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: shell, aws, ci/cd, kubernetes, docker, terraform. Built apis using ci/cd. handled csv and excel files."
E0223,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: linux, aws, ci/cd, kubernetes. Built pipelines using aws. quick learner."
E0224,Cloud DevOps Engineer,"Cloud DevOps Engineer with 0 years experience. Skills: linux, , github actions, kubernetes, docker. Built models using github actions. strong communication."
E0225,Data Analyst,"Data Analyst with 5 years experience. Skills: python, sql, excel, pandas. Built web apps using pandas. passionate about learning."
E0226,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: python, , databases, fast api, django, containers. Built  using . quick learner."
E0227,Cloud DevOps Engineer,"Cloud DevOps Engineer with 2 years experience. Skills: linux, , ci/cd, kubernetes, terraform. Built pipelines using terraform. quick learner."
E0228,Data Analyst,"Data Analyst with 4 years experience. Skills: pandas, mysql, excel, matplotlib. Built dashboards using pandas. strong communication."
E0229,Data Analyst,"Data Analyst with 1 years experience. Skills: numpy, , excel, pandas. Built pipelines using pandas. wrote unit tests."
E0230,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: shell, aws, , containers, kubernetes, terraform. Built dashboards using shell. worked in a college project."
E0231,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: python, apis, databases, docker, fastapi, django. Built apis using python. wrote unit tests."
E0232,Frontend Engineer (React),"Frontend Engineer (React) with 3 years experience. Skills: , react, html, ts, redux. Built web apps using html. team player."
E0233,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: linux, ec2, ci/cd, docker, terraform, kubernetes. Built dashboards using ec2. team player."
E0234,Data Analyst,"Data Analyst with 2 years experience. Skills: python, sql, excel, pandas, matplotlib. Built apis using matplotlib. worked in a college project."
E0235,Backend Engineer (Python),"Backend Engineer (Python) with 3 years experience. Skills: python, apis, sql db, django, fastapi. Built models using apis. worked in a college project."
E0236,ML Engineer,"ML Engineer with 3 years experience. Skills: , ml, sklearn, nlp, pytorch. Built web apps using nlp. team player."
E0237,Data Analyst,"Data Analyst with 5 years experience. Skills: python, sql, excel, dataframes, charts, dashboards. Built dashboards using python. quick learner."
E0238,Cloud DevOps Engineer,"Cloud DevOps Engineer with 2 years experience. Skills: linux, s3, ci/cd, terraform, docker, kubernetes. Built apis using kubernetes. quick learner."
E0239,Data Analyst,"Data Analyst with 0 years experience. Skills: python, queries, , charts. Built dashboards using . team player."
E0240,ML Engineer,"ML Engineer with 1 years experience. Skills: python, , scikit-learn, tensorflow, nlp, pytorch. Built web apps using scikit-learn. worked in a college project."
E0241,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: linux, aws, , kubernetes, terraform, docker. Built apis using kubernetes. worked in a college project."
E0242,ML Engineer,"ML Engineer with 0 years experience. Skills: , ml, scikit-learn, nlp, pytorch. Built apis using pytorch. passionate about learning."
E0243,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, react, , state mgmt. Built dashboards using . team player."
E0244,ML Engineer,"ML Engineer with 3 years experience. Skills: , ml, scikit-learn, tf. Built web apps using ml. worked in a college project."
E0245,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, , html, ts, redux. Built apis using html. participated in hackathons."
E0246,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: , react, html, ts, css, redux. Built web apps using ts. strong communication."
E0247,ML Engineer,"ML Engineer with 1 years experience. Skills: py, ml, scikit-learn, tensorflow. Built pipelines using ml. handled csv and excel files."
E0248,Data Analyst,"Data Analyst with 3 years experience. Skills: python, joins, excel, matplotlib, power bi. Built apis using joins. worked in a college project."
E0249,Backend Engineer (Python),"Backend Engineer (Python) with 3 years experience. Skills: python, endpoints, sql db, fastapi, docker. Built apis using sql db. quick learner."
E0250,Frontend Engineer (React),"Frontend Engineer (React) with 2 years experience. Skills: javascript, react, html, typescript. Built dashboards using javascript. wrote unit tests."
E0251,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: linux, aws, , iac. Built models using aws. participated in hackathons."
E0252,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, react, html, redux, typescript. Built apis using react. worked in a college project."
E0253,ML Engineer,"ML Engineer with 3 years experience. Skills: python, ml, sklearn, pytorch, nlp. Built pipelines using python. strong communication."
E0254,Frontend Engineer (React),"Frontend Engineer (React) with 3 years experience. Skills: javascript, react, html, ts, redux, css. Built dashboards using javascript. passionate about learning."
E0255,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: numpy, apis, databases, django rest, containers. Built web apps using apis. wrote unit tests."
E0256,ML Engineer,"ML Engineer with 2 years experience. Skills: numpy, ml, scikit-learn, nlp, tensorflow, torch. Built apis using scikit-learn. wrote unit tests."
E0257,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, react, html, css, typescript, redux. Built pipelines using javascript. passionate about learning."
E0258,ML Engineer,"ML Engineer with 1 years experience. Skills: numpy, , scikit-learn, tensorflow, nlp. Built models using . team player."
E0259,ML Engineer,"ML Engineer with 0 years experience. Skills: python, ml, scikit-learn, tensorflow, pytorch, nlp. Built apis using python. strong communication."
E0260,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, react, html, css, typescript, state mgmt. Built dashboards using typescript. worked in a college project."
E0261,Data Analyst,"Data Analyst with 1 years experience. Skills: python, postgres, excel, dataframes, charts, dax. Built models using charts. handled csv and excel files."
E0262,Frontend Engineer (React),"Frontend Engineer (React) with 2 years experience. Skills: javascript, react, html, ts. Built pipelines using html. quick learner."
E0263,Frontend Engineer (React),"Frontend Engineer (React) with 0 years experience. Skills: javascript, react, html, state mgmt, css, ts. Built pipelines using state mgmt. worked in a college project."
E0264,ML Engineer,"ML Engineer with 2 years experience. Skills: pandas, ml, scikit-learn, tensorflow, pytorch, nlp. Built apis using scikit-learn. passionate about learning."
E0265,Cloud DevOps Engineer,"Cloud DevOps Engineer with 0 years experience. Skills: linux, aws, pipelines, kubernetes. Built pipelines using pipelines. quick learner."
E0266,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, scikit-learn, tensorflow. Built models using scikit-learn. strong communication."
E0267,Cloud DevOps Engineer,"Cloud DevOps Engineer with 1 years experience. Skills: ubuntu, aws, pipelines, k8s, docker, terraform. Built models using docker. handled csv and excel files."
E0268,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: python, apis, , django, docker. Built web apps using apis. wrote unit tests."
E0269,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: linux, aws, ci/cd, docker, terraform. Built pipelines using docker. quick learner."
E0270,ML Engineer,"ML Engineer with 1 years experience. Skills: python, ml, scikit-learn, pytorch, tensorflow, nlp. Built dashboards using nlp. handled csv and excel files."
E0271,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: linux, aws, pipelines, kubernetes, docker. Built apis using aws. strong communication."
E0272,Backend Engineer (Python),"Backend Engineer (Python) with 5 years experience. Skills: python, apis, databases, docker, fastapi, django. Built dashboards using docker. participated in hackathons."
E0273,ML Engineer,"ML Engineer with 3 years experience. Skills: python, ml, scikit-learn, pytorch. Built models using python. passionate about learning."
E0274,ML Engineer,"ML Engineer with 4 years experience. Skills: python, ml, scikit-learn, pytorch. Built web apps using scikit-learn. participated in hackathons."
E0275,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, react, html, redux. Built apis using html. quick learner."
E0276,Data Analyst,"Data Analyst with 0 years experience. Skills: python, , excel, matplotlib, dax. Built dashboards using python. team player."
E0277,Cloud DevOps Engineer,"Cloud DevOps Engineer with 1 years experience. Skills: linux, aws, ci/cd, containers, kubernetes, terraform. Built web apps using terraform. quick learner."
E0278,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: linux, , ci/cd, kubernetes, terraform. Built apis using kubernetes. strong communication."
E0279,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: python, apis, databases, django rest. Built dashboards using databases. worked in a college project."
E0280,ML Engineer,"ML Engineer with 1 years experience. Skills: pandas, models, sklearn, torch. Built models using torch. wrote unit tests."
E0281,Data Analyst,"Data Analyst with 0 years experience. Skills: python, sql, excel, pandas. Built models using sql. wrote unit tests."
E0282,ML Engineer,"ML Engineer with 1 years experience. Skills: python, ml, scikit-learn, nlp, pytorch, tf. Built dashboards using ml. team player."
E0283,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, react, html, redux. Built apis using javascript. strong communication."
E0284,Data Analyst,"Data Analyst with 3 years experience. Skills: python, postgres, spreadsheets, matplotlib, power bi. Built apis using postgres. quick learner."
E0285,ML Engineer,"ML Engineer with 3 years experience. Skills: python, ml, , pytorch. Built web apps using ml. team player."
E0286,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, , html, redux, css, ts. Built apis using ts. team player."
E0287,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: python, apis, rdbms, fastapi, django rest. Built dashboards using apis. worked in a college project."
E0288,Data Analyst,"Data Analyst with 5 years experience. Skills: python, joins, excel, power bi, plots, series. Built web apps using excel. quick learner."
E0289,Data Analyst,"Data Analyst with 5 years experience. Skills: numpy, sql, excel, matplotlib. Built apis using sql. passionate about learning."
E0290,ML Engineer,"ML Engineer with 3 years experience. Skills: python, ml, sklearn, pytorch. Built dashboards using pytorch. participated in hackathons."
E0291,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: python, rest apis, databases, docker. Built web apps using databases. participated in hackathons."
E0292,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: linux, iam, ci/cd, terraform. Built pipelines using iam. worked in a college project."
E0293,Data Analyst,"Data Analyst with 0 years experience. Skills: python, postgres, excel, matplotlib, pandas. Built web apps using excel. quick learner."
E0294,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, sklearn, tf-idf, tensorflow, pytorch. Built pipelines using tensorflow. passionate about learning."
E0295,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: python, apis, databases, containers. Built pipelines using databases. team player."
E0296,Data Analyst,"Data Analyst with 0 years experience. Skills: python, , vlookup, charts, dataframes, power bi. Built pipelines using dataframes. worked in a college project."
E0297,Cloud DevOps Engineer,"Cloud DevOps Engineer with 2 years experience. Skills: linux, aws, ci/cd, kubernetes, iac, docker. Built dashboards using ci/cd. handled csv and excel files."
E0298,Frontend Engineer (React),"Frontend Engineer (React) with 2 years experience. Skills: javascript, js, html, css, typescript, redux. Built apis using html. worked in a college project."
E0299,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: python, apis, databases, django, fastapi, containers. Built dashboards using databases. worked in a college project."
E0300,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: js, react, html, redux. Built models using js. passionate about learning."
E0301,Data Analyst,"Data Analyst with 4 years experience. Skills: python, sql, excel, matplotlib, pandas. Built dashboards using python. worked in a college project."
E0302,Cloud DevOps Engineer,"Cloud DevOps Engineer with 0 years experience. Skills: linux, aws, ci/cd, kubernetes. Built models using ci/cd. handled csv and excel files."
E0303,Cloud DevOps Engineer,"Cloud DevOps Engineer with 1 years experience. Skills: linux, aws, ci/cd, containers, kubernetes, iac. Built apis using iac. participated in hackathons."
E0304,Data Analyst,"Data Analyst with 4 years experience. Skills: python, , excel, pandas. Built pipelines using python. passionate about learning."
E0305,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: linux, aws, ci/cd, k8s, iac, docker. Built dashboards using aws. wrote unit tests."
E0306,Backend Engineer (Python),"Backend Engineer (Python) with 1 years experience. Skills: python, apis, databases, docker. Built pipelines using databases. handled csv and excel files."
E0307,ML Engineer,"ML Engineer with 3 years experience. Skills: python, ml, , tensorflow. Built models using ml. participated in hackathons."
E0308,Backend Engineer (Python),"Backend Engineer (Python) with 2 years experience. Skills: python, endpoints, , django. Built pipelines using . passionate about learning."
E0309,Data Analyst,"Data Analyst with 4 years experience. Skills: python, sql, excel, pandas, power bi, matplotlib. Built dashboards using excel. wrote unit tests."
E0310,Data Analyst,"Data Analyst with 0 years experience. Skills: pandas, , excel, power bi, pandas, plots. Built models using plots. team player."
E0311,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: python, apis, databases, fast api, django, containers. Built apis using fast api. worked in a college project."
E0312,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, react, html, ts. Built dashboards using ts. worked in a college project."
E0313,Data Analyst,"Data Analyst with 5 years experience. Skills: python, sql, pivot, power bi. Built models using sql. worked in a college project."
E0314,ML Engineer,"ML Engineer with 3 years experience. Skills: pandas, models, sklearn, pytorch. Built web apps using pytorch. handled csv and excel files."
E0315,Data Analyst,"Data Analyst with 2 years experience. Skills: , sql, excel, pandas. Built pipelines using . participated in hackathons."
E0316,Backend Engineer (Python),"Backend Engineer (Python) with 3 years experience. Skills: python, rest apis, db, django, docker, fastapi. Built pipelines using python. quick learner."
E0317,Frontend Engineer (React),"Frontend Engineer (React) with 0 years experience. Skills: javascript, react, html, css. Built dashboards using javascript. team player."
E0318,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: linux, aws, , terraform. Built dashboards using terraform. passionate about learning."
E0319,Cloud DevOps Engineer,"Cloud DevOps Engineer with 1 years experience. Skills: linux, , ci/cd, docker, kubernetes. Built web apps using ci/cd. quick learner."
E0320,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: shell, aws, ci/cd, kubernetes, terraform. Built web apps using shell. strong communication."
E0321,Cloud DevOps Engineer,"Cloud DevOps Engineer with 2 years experience. Skills: linux, aws, ci/cd, terraform, kubernetes. Built pipelines using terraform. participated in hackathons."
E0322,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: shell, s3, ci/cd, kubernetes. Built models using shell. team player."
E0323,ML Engineer,"ML Engineer with 0 years experience. Skills: , ml, scikit-learn, tf. Built dashboards using ml. handled csv and excel files."
E0324,Cloud DevOps Engineer,"Cloud DevOps Engineer with 0 years experience. Skills: linux, aws, github actions, terraform, docker, kubernetes. Built apis using linux. participated in hackathons."
E0325,Data Analyst,"Data Analyst with 1 years experience. Skills: python, sql, excel, matplotlib. Built web apps using sql. team player."
E0326,Frontend Engineer (React),"Frontend Engineer (React) with 0 years experience. Skills: javascript, react, html, redux, css3, typescript. Built pipelines using react. wrote unit tests."
E0327,ML Engineer,"ML Engineer with 0 years experience. Skills: python, ml, sklearn, pytorch, nlp. Built models using sklearn. participated in hackathons."
E0328,ML Engineer,"ML Engineer with 4 years experience. Skills: python, ml, scikit-learn, pytorch, text processing, tensorflow. Built dashboards using text processing. quick learner."
E0329,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, scikit-learn, tf, nlp. Built web apps using scikit-learn. team player."
E0330,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: linux, ec2, ci/cd, docker, terraform. Built web apps using ci/cd. strong communication."
E0331,Backend Engineer (Python),"Backend Engineer (Python) with 5 years experience. Skills: python, apis, , fastapi, django rest, docker. Built pipelines using . passionate about learning."
E0332,ML Engineer,"ML Engineer with 2 years experience. Skills: , ml, scikit-learn, torch, nlp, tensorflow. Built web apps using nlp. passionate about learning."
E0333,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: linux, ec2, ci/cd, terraform. Built models using linux. quick learner."
E0334,ML Engineer,"ML Engineer with 1 years experience. Skills: python, ml, scikit-learn, tensorflow, tf-idf. Built dashboards using python. wrote unit tests."
E0335,Cloud DevOps Engineer,"Cloud DevOps Engineer with 1 years experience. Skills: shell, aws, github actions, terraform, k8s, docker. Built models using github actions. quick learner."
E0336,ML Engineer,"ML Engineer with 0 years experience. Skills: python, ml, , pytorch, text processing, tf. Built pipelines using ml. handled csv and excel files."
E0337,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: , react, html, state mgmt. Built models using state mgmt. strong communication."
E0338,ML Engineer,"ML Engineer with 0 years experience. Skills: python, ml, scikit-learn, tf-idf. Built pipelines using ml. quick learner."
E0339,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, reactjs, html, typescript, state mgmt, css. Built web apps using typescript. handled csv and excel files."
E0340,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: linux, s3, ci/cd, kubernetes. Built dashboards using kubernetes. worked in a college project."
E0341,ML Engineer,"ML Engineer with 3 years experience. Skills: python, , scikit-learn, tensorflow, nlp. Built dashboards using tensorflow. team player."
E0342,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, reactjs, html, css, typescript, redux. Built models using html. team player."
E0343,Data Analyst,"Data Analyst with 4 years experience. Skills: python, sql, pivot, charts, power bi, pandas. Built models using pivot. team player."
E0344,Frontend Engineer (React),"Frontend Engineer (React) with 2 years experience. Skills: js, react, html, redux, typescript, css3. Built dashboards using typescript. handled csv and excel files."
E0345,ML Engineer,"ML Engineer with 3 years experience. Skills: python, ml, scikit-learn, pytorch. Built dashboards using pytorch. passionate about learning."
E0346,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, reactjs, html, redux. Built web apps using redux. quick learner."
E0347,Cloud DevOps Engineer,"Cloud DevOps Engineer with 1 years experience. Skills: linux, , ci/cd, docker. Built models using ci/cd. quick learner."
E0348,ML Engineer,"ML Engineer with 5 years experience. Skills: python, , scikit-learn, pytorch. Built web apps using python. quick learner."
E0349,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, scikit-learn, tensorflow, nlp. Built apis using scikit-learn. handled csv and excel files."
E0350,Cloud DevOps Engineer,"Cloud DevOps Engineer with 2 years experience. Skills: ubuntu, aws, ci/cd, terraform, kubernetes. Built pipelines using ubuntu. worked in a college project."
E0351,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: linux, aws, pipelines, docker. Built dashboards using aws. wrote unit tests."
E0352,Data Analyst,"Data Analyst with 4 years experience. Skills: py, queries, spreadsheets, pandas. Built dashboards using pandas. participated in hackathons."
E0353,Backend Engineer (Python),"Backend Engineer (Python) with 5 years experience. Skills: pandas, apis, databases, docker, django, fastapi. Built models using fastapi. participated in hackathons."
E0354,Frontend Engineer (React),"Frontend Engineer (React) with 4 years experience. Skills: javascript, react, html, redux. Built web apps using react. worked in a college project."
E0355,Frontend Engineer (React),"Frontend Engineer (React) with 1 years experience. Skills: javascript, react, html, css, state mgmt, typescript. Built apis using state mgmt. handled csv and excel files."
E0356,ML Engineer,"ML Engineer with 3 years experience. Skills: python, ml, scikit-learn, tensorflow, nlp. Built models using tensorflow. handled csv and excel files."
E0357,Cloud DevOps Engineer,"Cloud DevOps Engineer with 0 years experience. Skills: linux, aws, github actions, kubernetes, terraform. Built web apps using github actions. passionate about learning."
E0358,Data Analyst,"Data Analyst with 3 years experience. Skills: python, sql, excel, pandas. Built dashboards using pandas. worked in a college project."
E0359,Cloud DevOps Engineer,"Cloud DevOps Engineer with 5 years experience. Skills: linux, aws, ci/cd, kubernetes, docker. Built apis using kubernetes. wrote unit tests."
E0360,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, scikit-learn, pytorch, nlp, tensorflow. Built models using pytorch. worked in a college project."
E0361,Data Analyst,"Data Analyst with 4 years experience. Skills: python, sql, vlookup, pandas, power bi. Built apis using sql. wrote unit tests."
E0362,Data Analyst,"Data Analyst with 2 years experience. Skills: python, , excel, matplotlib. Built pipelines using python. participated in hackathons."
E0363,Data Analyst,"Data Analyst with 0 years experience. Skills: python, joins, excel, pandas. Built pipelines using pandas. quick learner."
E0364,Data Analyst,"Data Analyst with 4 years experience. Skills: python, sql, excel, matplotlib, pandas. Built dashboards using python. participated in hackathons."
E0365,Data Analyst,"Data Analyst with 0 years experience. Skills: numpy, sql, excel, power bi, pandas. Built pipelines using excel. passionate about learning."
E0366,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, react, html, css, redux, typescript. Built apis using html. participated in hackathons."
E0367,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: python, apis, sql db, docker, fastapi, django. Built pipelines using docker. wrote unit tests."
E0368,Cloud DevOps Engineer,"Cloud DevOps Engineer with 1 years experience. Skills: shell, aws, ci/cd, docker, kubernetes. Built dashboards using aws. passionate about learning."
E0369,Data Analyst,"Data Analyst with 4 years experience. Skills: pandas, sql, excel, dashboards. Built pipelines using sql. handled csv and excel files."
E0370,Cloud DevOps Engineer,"Cloud DevOps Engineer with 1 years experience. Skills: linux, aws, ci/cd, kubernetes. Built apis using ci/cd. quick learner."
E0371,Data Analyst,"Data Analyst with 3 years experience. Skills: python, mysql, excel, power bi, dataframes. Built pipelines using power bi. team player."
E0372,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, scikit-learn, nlp. Built pipelines using python. worked in a college project."
E0373,Backend Engineer (Python),"Backend Engineer (Python) with 4 years experience. Skills: python, apis, databases, django, docker, fast api. Built pipelines using databases. strong communication."
E0374,Cloud DevOps Engineer,"Cloud DevOps Engineer with 1 years experience. Skills: linux, aws, ci/cd, kubernetes. Built apis using linux. passionate about learning."
E0375,ML Engineer,"ML Engineer with 0 years experience. Skills: python, , sklearn, tensorflow, nlp, pytorch. Built models using . worked in a college project."
E0376,ML Engineer,"ML Engineer with 3 years experience. Skills: python, models, scikit-learn, nlp, pytorch. Built models using models. team player."
E0377,Data Analyst,"Data Analyst with 1 years experience. Skills: python, sql, excel, matplotlib, pandas. Built models using sql. worked in a college project."
E0378,Data Analyst,"Data Analyst with 1 years experience. Skills: python, sql, excel, pandas, bi. Built pipelines using sql. participated in hackathons."
E0379,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, scikit-learn, nlp, pytorch. Built models using scikit-learn. passionate about learning."
E0380,ML Engineer,"ML Engineer with 5 years experience. Skills: python, ml, scikit-learn, text processing, pytorch. Built dashboards using python. wrote unit tests."
E0381,Frontend Engineer (React),"Frontend Engineer (React) with 5 years experience. Skills: javascript, react, html, redux, css, typescript. Built dashboards using css. handled csv and excel files."
E0382,Data Analyst,"Data Analyst with 4 years experience. Skills: python, , vlookup, dax, pandas, charts. Built models using . passionate about learning."
E0383,Cloud DevOps Engineer,"Cloud DevOps Engineer with 4 years experience. Skills: shell, aws, ci/cd, terraform, docker. Built dashboards using docker. handled csv and excel files."
E0384,Cloud DevOps Engineer,"Cloud DevOps Engineer with 0 years experience. Skills: linux, aws, ci/cd, docker, kubernetes. Built pipelines using linux. wrote unit tests."
E0385,Data Analyst,"Data Analyst with 2 years experience. Skills: pandas, queries, spreadsheets, matplotlib. Built dashboards using queries. worked in a college project."
E0386,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: linux, ec2, ci/cd, docker. Built pipelines using ec2. passionate about learning."
E0387,ML Engineer,"ML Engineer with 2 years experience. Skills: python, , sklearn, tensorflow. Built dashboards using sklearn. handled csv and excel files."
E0388,Cloud DevOps Engineer,"Cloud DevOps Engineer with 2 years experience. Skills: linux, ec2, ci/cd, terraform, docker, kubernetes. Built apis using linux. handled csv and excel files."
E0389,Cloud DevOps Engineer,"Cloud DevOps Engineer with 3 years experience. Skills: , aws, ci/cd, kubernetes. Built apis using . quick learner."
E0390,Data Analyst,"Data Analyst with 5 years experience. Skills: python, sql, excel, pandas. Built apis using pandas. handled csv and excel files."
E0391,ML Engineer,"ML Engineer with 2 years experience. Skills: python, ml, scikit-learn, text processing, tensorflow, torch. Built pipelines using scikit-learn. strong communication."
E0392,Data Analyst,"Data Analyst with 5 years experience. Skills: python, sql, excel, matplotlib, pandas. Built web apps using python. handled csv and excel files."
E0393,ML Engineer,"ML Engineer with 3 years experience. Skills: python, ml, scikit-learn, nlp. Built apis using ml. team player."
E0394,Data Analyst,"Data Analyst with 2 years experience. Skills: python, queries, excel, pandas. Built web apps using python. passionate about learning."
E0395,Cloud DevOps Engineer,"Cloud DevOps Engineer with 0 years experience. Skills: linux, aws, github actions, docker, kubernetes, terraform. Built web apps using kubernetes. strong communication."
E0396,ML Engineer,"ML Engineer with 5 years experience. Skills: numpy, , scikit-learn, pytorch. Built dashboards using pytorch. passionate about learning."
E0397,Data Analyst,"Data Analyst with 1 years experience. Skills: , sql, spreadsheets, pandas, power bi. Built dashboards using sql. participated in hackathons."
E0398,Backend Engineer (Python),"Backend Engineer (Python) with 0 years experience. Skills: , apis, databases, docker, django, fastapi. Built web apps using . strong communication."
